iter	Passed	Remaining
0	5	5059
1	5	2802
2	6	2061
3	6	1667
4	7	1426
5	7	1240
6	7	1103
7	8	1004
8	8	929
9	8	865
10	9	816
11	9	774
12	9	736
13	10	707
14	10	681
15	10	657
16	11	639
17	11	622
18	11	605
19	12	592
20	12	585
21	12	577
22	13	567
23	13	557
24	14	546
25	14	537
26	14	528
27	15	522
28	15	514
29	15	508
30	16	501
31	16	496
32	16	490
33	17	485
34	17	480
35	17	480
36	18	478
37	18	475
38	19	472
39	19	470
40	19	467
41	20	462
42	20	459
43	21	458
44	21	458
45	21	456
46	22	457
47	23	456
48	23	454
49	24	459
50	24	456
51	24	453
52	25	450
53	25	447
54	25	445
55	26	442
56	26	439
57	26	437
58	27	439
59	27	437
60	28	441
61	29	441
62	29	440
63	30	442
64	30	440
65	31	447
66	32	448
67	32	446
68	32	444
69	33	446
70	34	446
71	34	445
72	35	448
73	35	448
74	37	462
75	38	468
76	38	465
77	39	463
78	39	460
79	39	458
80	40	459
81	41	459
82	41	455
83	41	454
84	42	458
85	42	456
86	43	454
87	43	452
88	44	450
89	44	448
90	44	446
91	45	444
92	45	442
93	45	440
94	46	439
95	46	440
96	47	442
97	47	440
98	48	439
99	48	437
100	49	436
101	49	434
102	49	432
103	50	431
104	50	430
105	50	429
106	51	428
107	51	427
108	52	426
109	52	428
110	56	451
111	56	450
112	57	448
113	57	446
114	57	444
115	58	442
116	58	439
117	58	438
118	58	436
119	59	434
120	59	432
121	59	430
122	60	428
123	60	426
124	60	425
125	61	424
126	61	422
127	62	425
128	64	433
129	65	437
130	65	435
131	66	434
132	66	432
133	66	431
134	67	429
135	67	428
136	67	427
137	68	427
138	69	427
139	69	426
140	70	427
141	70	425
142	70	425
143	71	424
144	71	423
145	74	434
146	75	435
147	75	436
148	76	434
149	76	434
150	77	433
151	78	436
152	78	434
153	79	436
154	80	436
155	80	436
156	81	435
157	81	435
158	82	434
159	82	433
160	82	430
161	82	429
162	83	428
163	84	428
164	84	427
165	84	426
166	85	425
167	85	424
168	86	423
169	86	422
170	87	422
171	87	421
172	87	420
173	88	419
174	88	419
175	89	418
176	89	417
